Name,Position,Shift Start Time,Shift End Time,Email
Ada Lovelace,Cage Oversight,6:00 PM,6:30 PM,alovelace@berkeley.edu
Alan Perlis,Utility,5:00 PM,6:00 PM,aperlis@berkeley.edu
Bill Joy,Cage Transport,3:30 PM,4:00 PM,bjoy@berkeley.edu
Brian Kernighan,Cage Oversight,3:30 PM,4:00 PM,bkernighan@berkeley.edu
Daphne Koller,Tech Oversight/Set Up,5:00 PM,6:00 PM,dkoller@berkeley.edu
Edgar Codd,Stage Set Up,4:00 PM,4:30 PM,ecodd@berkeley.edu
Grace Hopper,Photographer,5:00 PM,6:00 PM,ghopper@berkeley.edu
Jeannette Wing,Registration Check In,4:00 PM,5:00 PM,jwing@berkeley.edu
Karen Jones,Cage Transport,3:30 PM,4:00 PM,kjones@berkeley.edu
Marissa Mayer,Cage Transport,6:00 PM,6:30 PM,mmayer@berkeley.edu
Rosalind Picard,Tech Oversight/Set Up,4:00 PM,5:00 PM,rpicard@berkeley.edu
Sergey Brin,Cage Transport,6:00 PM,6:30 PM,sbrin@berkeley.edu
Stephen Cook,Tech Oversight/Set Up,4:00 PM,5:00 PM,scook@berkeley.edu
Susan Landau,Registration Set Up,4:00 PM,4:30 PM,slandau@berkeley.edu
Wendy Hall,Late Registration Check In,5:00 PM,6:00 PM,whall@berkeley.edu
